Term,Translation,Context,Reference,Comment,Reference translation
commons.learn.more,আরো জানুন…,Put anywhere the user can learn more by clicking on a link.,,,Learn more...
commons.powered.by.surveycto,{0} দ্বারা পরিচালিত,"SurveyCTO branding. {0} gets replaced by ""SurveyCTO"" and must be included in your translation.",,,Powered by {0}
web.forms.page.delete.instances.confirmation.message,আপনি কি নিশ্চিত যে আপনি এই ফর্মটি মুছতে চান?,"Text to confirm that the user wants to delete a filled-out form (i.e., a submission).",,,Are you sure you want to delete this form?
web.forms.page.delete.instances.confirmation.negative.button,মুছবেন না,"Button to confirm that the user does NOT want to delete a filled-out form (i.e., to cancel deleting a submission).",,,Do not delete
web.forms.page.delete.instances.confirmation.positive.button,"হ্যাঁ, এটি মুছুন","Button to confirm that the user DOES want to delete a filled-out form (i.e., a submission).",,,"Yes, delete it"
web.forms.page.delete.instances.confirmation.title,মোছার বিষয়টি নিশ্চিত করুন,"Title of the window to confirm that the user wants to delete a filled-out form (i.e., a submission).",,,Confirm deletion
web.forms.page.delete.instances.header,মোছার জন্য একটি ফর্ম চয়ন করুন:,Header for list of filled-out forms that can be deleted.,,,Choose a form to delete:
web.forms.page.delete.instances.title,সংরক্ষিত ফর্ম মুছুন,Title for list of filled-out forms that can be deleted.,,,Delete saved form
web.forms.page.edit.instances.header,সম্পাদনা আবার শুরু করতে একটি সংরক্ষিত ফর্ম চয়ন করুন:,Header for list of saved forms that can be resumed.,,,Choose a saved form to resume editing:
web.forms.page.edit.instances.title,সংরক্ষিত ফর্ম তালিকা,Title for list of saved forms that can be resumed.,,,Saved forms list
