Term,Translation,Context,Reference,Comment,Reference translation
commons.learn.more,ပိုမိုသိရွိရန္,Put anywhere the user can learn more by clicking on a link.,,,Learn more...
commons.powered.by.surveycto,{0} မွပံ့ပိုးသည္။,"SurveyCTO branding. {0} gets replaced by ""SurveyCTO"" and must be included in your translation.",,,Powered by {0}
web.forms.page.delete.instances.confirmation.message,သင္ဤပုံစံကိုဖ်က္ခ်င္ပါသလား။,"Text to confirm that the user wants to delete a filled-out form (i.e., a submission).",,,Are you sure you want to delete this form?
web.forms.page.delete.instances.confirmation.negative.button,မဖ်က္ပါႏွင့္,"Button to confirm that the user does NOT want to delete a filled-out form (i.e., to cancel deleting a submission).",,,Do not delete
web.forms.page.delete.instances.confirmation.positive.button,ဟုတ္ကဲ့၊ ဖ်က္ပါရန္,"Button to confirm that the user DOES want to delete a filled-out form (i.e., a submission).",,,"Yes, delete it"
web.forms.page.delete.instances.confirmation.title,ဖ်က္ျခင္းကိုအတည္ျပဳပါရန္,"Title of the window to confirm that the user wants to delete a filled-out form (i.e., a submission).",,,Confirm deletion
web.forms.page.delete.instances.header,ဖ်က္ရန္formကိုေရြးခ်ယ္ပါရန္,Header for list of filled-out forms that can be deleted.,,,Choose a form to delete:
web.forms.page.delete.instances.title,သိမ္းဆည္းထားေသာ formကိုဖ်က္ပါ,Title for list of filled-out forms that can be deleted.,,,Delete saved form
web.forms.page.edit.instances.header,ျပင္ဆင္ျခင္းကိုျပန္လည္စတင္ရန္သိမ္းဆည္းထားေသာformကိုေရြးခ်ယ္ပါ။,Header for list of saved forms that can be resumed.,,,Choose a saved form to resume editing:
web.forms.page.edit.instances.title,forms list မ်ားအား သိမ္းဆည္းထားရန္,Title for list of saved forms that can be resumed.,,,Saved forms list
web.forms.page.filling.audio.select.file.button,အသံဖိုင္ကိုေရြးခ်ယ္ပါရန္,Button for selecting an audio file.,,,Select audio file
web.forms.page.filling.banner.tooltip,{0} (version: {၁}),Information about the current form that appears if the user hovers their mouse over the form title in the upper-left. {0} gets replaced with the current form title. {1} gets replaced with the form version. Both must be included in your translation.,,,{0} (version: {1})
web.forms.page.filling.binary.error.large.file,ဝမ္းနည္းပါတယ္၊ ဒါေပမယ့္ {0} MB ထက္ပိုေသာဖိုင္ကိုသင္ပူးတြဲေဖာ္ျပလို႔ မရပါ။ ဆက္လက္မလုပ္ေဆာင္မီဖိုင္ အေသးငယ္ကိုပူးတြဲပါ။,Error message that appears when the user tries to attach a file that is too large. {0} gets replaced with the max file size (in megabytes) and must be included in your translation.,,,"I'm sorry, but you cannot attach a file that is more than {0}MB in size. Please attach a smaller file before continuing."
web.forms.page.filling.file.current.selection.label,လက္ရွိေရြးခ်ယ္ရန္,This is the text that appears immediately before the selected file name once you've made a selection in a file field.,,,Current selection
web.forms.page.filling.file.select.different.button,အျခားဖိုင္တစ္ခုကိုေရြးခ်ယ္ပါရန္,This is the button label once you've made a selection in a file field.,,,Select a different file
web.forms.page.filling.file.select.file.button,ဖိုင္တစ္ခုေရြးပါရန္,This is the default button label in a file field before you've made a selection.,,,Select a file
web.forms.page.filling.geopoint.accuracy,တိက်မွန္ကန္မွု,This is the text that appears immediately before the accuracy value once you've recorded your location in a geo field.,,,Accuracy
web.forms.page.filling.geopoint.altitude,အျမင့္,This is the text that appears immediately before the altitude value once you've recorded your location in a geo field.,,,Altitude
web.forms.page.filling.geopoint.error.geolocation.not.supported,Geolocation ကိုဤဘေရာင္ဇာမွမေထာက္ပံ့ပါ။,Error message that appears when a geopoint field is shown in a browser that does not support location services.,,,Geolocation is not supported by this browser.
