Term,Translation,Context,Reference,Comment,Reference translation
commons.learn.more,"Ler mais...","Put anywhere the user can learn more by clicking on a link.",,,"Learn more..."
commons.powered.by.surveycto,"Distribuído por {0}","SurveyCTO branding. {0} gets replaced by ""SurveyCTO"" and must be included in your translation.",,,"Powered by {0}"
web.forms.page.delete.instances.confirmation.message,"Tem a certeza que quer apagar este formulário?","Text to confirm that the user wants to delete a filled-out form (i.e., a submission).",,,"Are you sure you want to delete this form?"
web.forms.page.delete.instances.confirmation.negative.button,"Não apagar","Button to confirm that the user does NOT want to delete a filled-out form (i.e., to cancel deleting a submission).",,,"Do not delete"
web.forms.page.delete.instances.confirmation.positive.button,"Sim, apagar","Button to confirm that the user DOES want to delete a filled-out form (i.e., a submission).",,,"Yes, delete it"
web.forms.page.delete.instances.confirmation.title,"Confirmar eliminação","Title of the window to confirm that the user wants to delete a filled-out form (i.e., a submission).",,,"Confirm deletion"
web.forms.page.delete.instances.header,"Escolha um formulário para apagar","Header for list of filled-out forms that can be deleted.",,,"Choose a form to delete:"
web.forms.page.delete.instances.title,"Apagar formulário guardado","Title for list of filled-out forms that can be deleted.",,,"Delete saved form"
web.forms.page.edit.instances.header,"Escolha um formulário guardado para editar","Header for list of saved forms that can be resumed.",,,"Choose a saved form to resume editing:"
web.forms.page.edit.instances.title,"Lista de formulários guardados","Title for list of saved forms that can be resumed.",,,"Saved forms list"
web.forms.page.filling.audio.select.file.button,"Selecione um ficheiro de áudio","Button for selecting an audio file.",,,"Select audio file"
web.forms.page.filling.banner.tooltip,"{0} (versão: {1})","Information about the current form that appears if the user hovers their mouse over the form title in the upper-left. {0} gets replaced with the current form title. {1} gets replaced with the form version. Both must be included in your translation.",,,"{0} (version: {1})"
web.forms.page.filling.binary.error.large.file,"Não é possível anexar um ficheiro com tamanho superior a {0}MB. Por favor, anexe um ficheiro mais pequeno antes de continuar.","Error message that appears when the user tries to attach a file that is too large. {0} gets replaced with the max file size (in megabytes) and must be included in your translation.",,,"I'm sorry, but you cannot attach a file that is more than {0}MB in size. Please attach a smaller file before continuing."
web.forms.page.filling.file.current.selection.label,"Seleção atual","This is the text that appears immediately before the selected file name once you've made a selection in a file field.",,,"Current selection"
web.forms.page.filling.file.select.different.button,"Selecione um ficheiro diferente","This is the button label once you've made a selection in a file field.",,,"Select a different file"
web.forms.page.filling.file.select.file.button,"Selecione um ficheiro","This is the default button label in a file field before you've made a selection.",,,"Select a file"
web.forms.page.filling.geopoint.accuracy,Precisão,"This is the text that appears immediately before the accuracy value once you've recorded your location in a geo field.",,,Accuracy
web.forms.page.filling.geopoint.altitude,Altitude,"This is the text that appears immediately before the altitude value once you've recorded your location in a geo field.",,,Altitude
web.forms.page.filling.geopoint.error.geolocation.not.supported,"A geolocalização não é suportada por este browser.","Error message that appears when a geopoint field is shown in a browser that does not support location services.",,,"Geolocation is not supported by this browser."
web.forms.page.filling.geopoint.error.not.available,"Informação sobre a localização não está disponível.","Error message that appears when a geopoint field is shown in a browser and location services are not available (possibly because the user has disabled location services or declined to give permission).",,,"Location information is not available."
web.forms.page.filling.geopoint.error.permission.denied,"Não é possível identificar a sua localização (permissão negada). Poderá ter que mudar as definições de segurança do seu browser para permitir que este website tenha acesso à sua localização.","Error message that appears when a geopoint field is shown in a browser and location services are not available because of security settings or the user has declined to give permission.",,,"Cannot identify location (permission denied). You may need to change your browser's security settings to allow this website to access your location."
web.forms.page.filling.geopoint.error.request.timeout,"O tempo para determinar a sua localização expirou.","Error message that appears when a geopoint field is shown in a browser and the system times out before getting a valid location.",,,"The request to get user location timed out."
web.forms.page.filling.geopoint.error.unknown,"Ocorreu um erro desconhecido.","Error message that appears when a geopoint field is shown in a browser and some unknown error prevents the system from reading the current location.",,,"An unknown error occurred."
web.forms.page.filling.geopoint.latitude,Latitude,"This is the text that appears immediately before the latitude value once you've recorded your location in a geo field.",,,Latitude
web.forms.page.filling.geopoint.longitude,Longitude,"This is the text that appears immediately before the longitude value once you've recorded your location in a geo field.",,,Longitude
web.forms.page.filling.geopoint.record.location.button,"Registar localização","The primary button label in a geo field before you've recorded a location.",,,"Record location"
web.forms.page.filling.geopoint.replace.location.button,"Substituir localização","This is the button label once you've recorded a location in a geo field.",,,"Replace location"
web.forms.page.filling.go.to.button,"Ir para","The label for the 'go to' button.",,,"Go to"
web.forms.page.filling.go.to.UI.close,Fechar,"The label for the red button in the 'go to' screen used to exit the 'go to' screen.",,,Close
web.forms.page.filling.go.to.UI.go.there,"Abrir campo","The label for the button next to each field in the 'go to' screen.",,,"Go there"
web.forms.page.filling.go.to.UI.go.to.end,"Ir para o final","The button label in the 'go to' screen for progressing to the end of the form.",,,"Go to end"
web.forms.page.filling.go.to.UI.go.to.start,"Ir para o início","The button label in the 'go to' screen for returning to the beginning of the form. ",,,"Go to start"
web.forms.page.filling.go.to.UI.go.up,"Ir para cima","The button label in the 'go to' UI for when you are currently within an instance of a repeat group and you would like to 'go up' a level.",,,"Go up"
web.forms.page.filling.go.to.UI.resume,Retomar,"When you return to a saved form to continue filling it out, this is the button label in the 'go to' UI for resuming where you left off.",,,Resume
