Term,Translation,Context,Reference,Comment,Reference translation,,,,,,,,,,,,,,,,,,,,
commons.learn.more,Узнать больше...,Put anywhere the user can learn more by clicking on a link.,,,Learn more...,,,,,,,,,,,,,,,,,,,,
commons.powered.by.surveycto,При поддержке {0},"SurveyCTO branding. {0} gets replaced by ""SurveyCTO"" and must be included in your translation.",,,Powered by {0},,,,,,,,,,,,,,,,,,,,
web.forms.page.delete.instances.confirmation.message,"Вы уверены, что хотите удалить эту форму?","Text to confirm that the user wants to delete a filled-out form (i.e., a submission).",,,Are you sure you want to delete this form?,,,,,,,,,,,,,,,,,,,,
web.forms.page.delete.instances.confirmation.negative.button,Отменить,"Button to confirm that the user does NOT want to delete a filled-out form (i.e., to cancel deleting a submission).",,,Do not delete,,,,,,,,,,,,,,,,,,,,
web.forms.page.delete.instances.confirmation.positive.button,"Да, удалить","Button to confirm that the user DOES want to delete a filled-out form (i.e., a submission).",,,"Yes, delete it",,,,,,,,,,,,,,,,,,,,
web.forms.page.delete.instances.confirmation.title,Подтвердить удаление,"Title of the window to confirm that the user wants to delete a filled-out form (i.e., a submission).",,,Confirm deletion,,,,,,,,,,,,,,,,,,,,
web.forms.page.delete.instances.header,Выбрать форму для удаления:,Header for list of filled-out forms that can be deleted.,,,Choose a form to delete:,,,,,,,,,,,,,,,,,,,,
web.forms.page.delete.instances.title,Удалить сохраненную форму,Title for list of filled-out forms that can be deleted.,,,Delete saved form,,,,,,,,,,,,,,,,,,,,
web.forms.page.edit.instances.header,Выбрать сохраненную форму для возобновления редактирования:,Header for list of saved forms that can be resumed.,,,Choose a saved form to resume editing:,,,,,,,,,,,,,,,,,,,,
web.forms.page.edit.instances.title,Список сохраненных форм,Title for list of saved forms that can be resumed.,,,Saved forms list,,,,,,,,,,,,,,,,,,,,
web.forms.page.error.traffic.jam,"Приносим свои извинения. Не удалось обработать ваш запрос. Пожалуйста, попробуйте еще раз или обновите страницу. (Подробности: {0})",This is the error message that can appear if the server becomes temporarily overloaded. {0} gets replaced with details about the error and must be included in your translation.,,Added in SCTO_v2.70.8.,"Traffic jam! I'm sorry, but we were unable to process your request. Please try again or refresh your page. (Details: {0})",,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.audio.select.file.button,Выбрать аудиофайл,Button for selecting an audio file.,,,Select audio file,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.banner.tooltip,{0} (версия: {1}),Information about the current form that appears if the user hovers their mouse over the form title in the upper-left. {0} gets replaced with the current form title. {1} gets replaced with the form version. Both must be included in your translation.,,,{0} (version: {1}),,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.binary.error.large.file,"Извините, но вы не можете прикрепить файл объемом больше {0} МБ. Пожалуйста, прикрепите файл меньшего размера, прежде чем продолжить.",Error message that appears when the user tries to attach a file that is too large. {0} gets replaced with the max file size (in megabytes) and must be included in your translation.,,,"I'm sorry, but you cannot attach a file that is more than {0}MB in size. Please attach a smaller file before continuing.",,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.file.current.selection.label,Текущий выбор,This is the text that appears immediately before the selected file name once you've made a selection in a file field.,,,Current selection,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.file.select.different.button,Выбрать другой файл,This is the button label once you've made a selection in a file field.,,,Select a different file,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.file.select.file.button,Выбрать файл,This is the default button label in a file field before you've made a selection.,,,Select a file,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.generic.error.filetype.name.audio,аудио,This is the name of the expected file type that gets used in the error message web.forms.page.filling.generic.error.invalid.file.type.,,Added in SCTO_v2.70.8.,audio,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.generic.error.filetype.name.file,файл,This is the name of the expected file type that gets used in the error message web.forms.page.filling.generic.error.invalid.file.type.,,Added in SCTO_v2.70.8.,file,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.generic.error.filetype.name.image,изображение,This is the name of the expected file type that gets used in the error message web.forms.page.filling.generic.error.invalid.file.type.,,Added in SCTO_v2.70.8.,image,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.generic.error.filetype.name.video,видео,This is the name of the expected file type that gets used in the error message web.forms.page.filling.generic.error.invalid.file.type.,,Added in SCTO_v2.70.8.,video,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.generic.error.invalid.file.type,"Файл ""{0}"" не допустим {1}. Допустимые расширения включают:",This is the error message that appears when you attempt to upload an invalid file type. {0} gets replaced with the filename of the file you're attempting to upload. {1} gets replaced with the expected file type in the current language. Both {0} and {1} must be included in your translation. A list of allowable file extensions (in English) are added to the end of this message.,,Added in SCTO_v2.70.8.,"The file ""{0}"" is not a valid {1} file. Valid extensions include: ",,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.generic.error.invalid.file.type.executable,"Извините, из-за соображений безопасности вы не можете загрузить исполняемый файл.",This is the error that appears when you try and upload an executable file.,,Added in SCTO_v2.70.8.,"I'm sorry, for security reasons, you cannot upload an executable file.",,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.generic.error.invalid.file.type.mime,"Извините, но этот тип файла недопустим ({0}).","This is the error message that appears when you attempt to upload a file that is disallowed by the defined MIME types. {0} gets replaced with the supplied invalid file type, and must be included in your translation.",,Added in SCTO_v2.70.8.,"I'm sorry, but that file type is not allowed ({0}).",,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.generic.error.invalid.response,"Извините, но этот ответ недействителен!",This is the error message that appears when the response violates the constraint for the field.,,Added in SCTO_v2.70.8.,"Sorry, this response is invalid!",,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.generic.error.missing.media,Медиафайл «{0}» отсутствует.,"This is the text that appears if a field is supposed to show a media file, but that media file is missing. {0} gets replaced with the filename of the missing media file and must be included in your translation.",,Added in SCTO_v2.70.8.,"The media file ""{0}"" is missing.",,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.generic.error.required,"Извините, но этот ответ обязателен!",This is the error that appears when you try and move past a required field without entering a response.,,Added in SCTO_v2.70.8.,"Sorry, this response is required!",,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.geopoint.accuracy,Точность,This is the text that appears immediately before the accuracy value once you've recorded your location in a geo field.,,,Accuracy,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.geopoint.altitude,Высота,This is the text that appears immediately before the altitude value once you've recorded your location in a geo field.,,,Altitude,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.geopoint.error.geolocation.not.supported,Ваш браузер не поддерживает геолокацию.,Error message that appears when a geopoint field is shown in a browser that does not support location services.,,,Geolocation is not supported by this browser.,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.geopoint.error.not.available,Информация о местонахождении недоступна.,Error message that appears when a geopoint field is shown in a browser and location services are not available (possibly because the user has disabled location services or declined to give permission).,,,Location information is not available.,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.geopoint.error.permission.denied,"Не удаётся определить местоположение (доступ запрещен). Проверьте в настройках браузера, открыт ли доступ к вашему местоположению для сайта.",Error message that appears when a geopoint field is shown in a browser and location services are not available because of security settings or the user has declined to give permission.,,,Cannot identify location (permission denied). You may need to change your browser's security settings to allow this website to access your location.,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.geopoint.error.request.timeout,Время ожидания запроса местоположения пользователя истекло.,Error message that appears when a geopoint field is shown in a browser and the system times out before getting a valid location.,,,The request to get user location timed out.,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.geopoint.error.unknown,Произошла неизвестная ошибка.,Error message that appears when a geopoint field is shown in a browser and some unknown error prevents the system from reading the current location.,,,An unknown error occurred.,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.geopoint.latitude,Широта,This is the text that appears immediately before the latitude value once you've recorded your location in a geo field.,,,Latitude,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.geopoint.longitude,Долгота,This is the text that appears immediately before the longitude value once you've recorded your location in a geo field.,,,Longitude,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.geopoint.record.location.button,Записать местоположения,The primary button label in a geo field before you've recorded a location.,,,Record location,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.geopoint.replace.location.button,Заменить местоположение,This is the button label once you've recorded a location in a geo field.,,,Replace location,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.go.to.button,Перейти к,The label for the 'go to' button.,,,Go to,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.go.to.UI.close,Закрыть,The label for the red button in the 'go to' screen used to exit the 'go to' screen.,,,Close,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.go.to.UI.go.there,Перейти сюда,The label for the button next to each field in the 'go to' screen.,,,Go there,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.go.to.UI.go.to.end,Перейти к концу,The button label in the 'go to' screen for progressing to the end of the form.,,,Go to end,,,,,,,,,,,,,,,,,,,,
