Term,Translation,Reference translation,Context,Reference,Comment
commons.learn.more,మరింత తెలుసుకోవడానికి,Learn more...,Put anywhere the user can learn more by clicking on a link.,,
commons.powered.by.surveycto,{0} ద్వారా ఆధారితం,Powered by {0},"SurveyCTO branding. {0} gets replaced by ""SurveyCTO"" and must be included in your translation.",,
web.forms.page.delete.instances.confirmation.message,మీరు ఈ ఫారమ్‌ను ఖచ్చితంగా తొలగించాలనుకుంటున్నారా?,Are you sure you want to delete this form?,"Text to confirm that the user wants to delete a filled-out form (i.e., a submission).",,
web.forms.page.delete.instances.confirmation.negative.button,తొలగించవద్దు,Do not delete,"Button to confirm that the user does NOT want to delete a filled-out form (i.e., to cancel deleting a submission).",,
web.forms.page.delete.instances.confirmation.positive.button,"అవును, తొలగించండి","Yes, delete it","Button to confirm that the user DOES want to delete a filled-out form (i.e., a submission).",,
web.forms.page.delete.instances.confirmation.title,తొలగింపును నిర్ధారించండి,Confirm deletion,"Title of the window to confirm that the user wants to delete a filled-out form (i.e., a submission).",,
web.forms.page.delete.instances.header,తొలగించడానికి ఒక ఫారమ్‌ను ఎంచుకోండి:,Choose a form to delete:,Header for list of filled-out forms that can be deleted.,,
web.forms.page.delete.instances.title,సేవ్ చేసిన ఫారమ్‌ను తొలగించండి,Delete saved form,Title for list of filled-out forms that can be deleted.,,
web.forms.page.edit.instances.header,సవరణను తిరిగి ప్రారంభించడానికి సేవ్ చేసిన ఫారమ్‌ను ఎంచుకోండి:,Choose a saved form to resume editing:,Header for list of saved forms that can be resumed.,,
web.forms.page.edit.instances.title,సేవ్ చేసిన ఫారమ్‌ల జాబితా,Saved forms list,Title for list of saved forms that can be resumed.,,
web.forms.page.error.traffic.jam,"క్షమించండి, మేము మీ అభ్యర్థనను ప్రాసెస్ చేయలేకపోయాము. దయచేసి మళ్ళీ ప్రయత్నించండి లేదా మీ పేజీని రిఫ్రెష్ చేయండి. (వివరాలు: {0})","Traffic jam! I'm sorry, but we were unable to process your request. Please try again or refresh your page. (Details: {0})",This is the error message that can appear if the server becomes temporarily overloaded. {0} gets replaced with details about the error and must be included in your translation.,,Added in SCTO_v2.70.8.
web.forms.page.filling.audio.select.file.button,ఆడియో ఫైల్‌ను ఎంచుకోండి,Select audio file,Button for selecting an audio file.,,
web.forms.page.filling.banner.tooltip,{0} (వెర్షన్: {1}),{0} (version: {1}),Information about the current form that appears if the user hovers their mouse over the form title in the upper-left. {0} gets replaced with the current form title. {1} gets replaced with the form version. Both must be included in your translation.,,
web.forms.page.filling.binary.error.large.file,"క్షమించండి, కానీ మీరు {0} MB కంటే ఎక్కువ పరిమాణంలో ఉన్న ఫైల్‌ను అటాచ్ చేయలేరు. కొనసాగించే ముందు చిన్న ఫైల్‌ను అటాచ్ చేయండి.","I'm sorry, but you cannot attach a file that is more than {0}MB in size. Please attach a smaller file before continuing.",Error message that appears when the user tries to attach a file that is too large. {0} gets replaced with the max file size (in megabytes) and must be included in your translation.,,
web.forms.page.filling.file.current.selection.label,ప్రస్తుత ఎంపిక,Current selection,This is the text that appears immediately before the selected file name once you've made a selection in a file field.,,
web.forms.page.filling.file.select.different.button,వేరే ఫైల్‌ను ఎంచుకోండి,Select a different file,This is the button label once you've made a selection in a file field.,,
web.forms.page.filling.file.select.file.button,ఫైల్‌ను ఎంచుకోండి,Select a file,This is the default button label in a file field before you've made a selection.,,
web.forms.page.filling.generic.error.filetype.name.audio,ఆడియో,audio,This is the name of the expected file type that gets used in the error message web.forms.page.filling.generic.error.invalid.file.type.,,Added in SCTO_v2.70.8.
