Term,Translation,Context,Reference,Comment
commons.learn.more,Μάθε περισσότερα...,,,
commons.powered.by.surveycto,Με την υποστήριξη του {0},,,
web.forms.page.filling.login.panel.loggedin.as,Συνδεθήκατε ως,,,
web.forms.page.filling.login.panel.login.and.continue.btn,Σύνδεση και συνέχεια,,,
web.forms.page.filling.login.panel.login.btn,Σύνδεση,,,
web.forms.page.filling.login.panel.logout.btn,Αποσύνδεση,,,
web.forms.page.filling.login.panel.not.loggedin.long,Δεν είστε συνδεδεμένος,,,
web.forms.page.filling.login.panel.not.loggedin.short,Αποσυνδεδεμένος,,,
web.forms.page.delete.instances.confirmation.message,Θέλετε σίγουρα να διαγράψετε αυτή τη φόρμα;,,,
web.forms.page.delete.instances.confirmation.negative.button,Μην τη διαγράψεις,,,
web.forms.page.delete.instances.confirmation.positive.button,"Ναι, διέγραψέ την",,,
web.forms.page.delete.instances.confirmation.title,Επιβεβαίωση διαγραφής,,,
web.forms.page.delete.instances.header,Επέλεξε μια φόρμα για να διαγράψεις:,,,
web.forms.page.delete.instances.title,Διαγραφή.αποθηκευμένης φόρμας,,,
web.forms.page.edit.instances.header,Επέλεξε μια φόρμα για να συνεχίσεις τη συμπλήρωση:,,,
web.forms.page.edit.instances.title,Λίστα αποθηκευμένων φορμών,,,
web.forms.page.filling.audio.select.file.button,Επιλέξτε αρχείο ήχου,,,
web.forms.page.filling.banner.tooltip,{0} (έκδοση: {1}),,,
web.forms.page.filling.barcode.error.not.supported,Η σάρωση γραμμωτού κώδικα δεν υποστηρίζεται σε φόρμες ιστού. Εισαγάγετε τις λεπτομέρειες του γραμμικού κώδικα εδώ.,,,
web.forms.page.filling.binary.error.large.file,"Λυπάμαι, αλλά δεν μπορείτε να επισυνάψετε ένα αρχείο με μέγεθος μεγαλύτερο από {0}MB. Επισυνάψτε ένα μικρότερο αρχείο πριν συνεχίσετε.",,,
web.forms.page.filling.date.months.april,Απρίλιος,,,
web.forms.page.filling.date.months.august,Αύγουστος,,,
web.forms.page.filling.date.months.december,Δεκέμβριος,,,
web.forms.page.filling.date.months.february,Φεβρουάριος,,,
web.forms.page.filling.date.months.january,Ιανουάριος,,,
web.forms.page.filling.date.months.july,Ιούλιος,,,
web.forms.page.filling.date.months.june,Ιούνιος,,,
web.forms.page.filling.date.months.march,Μάρτιος,,,
