Term,Translation,Context,Reference,Comment,Reference translation
commons.learn.more,"और अधिक जानें...","Put anywhere the user can learn more by clicking on a link.",,,"Learn more..."
commons.powered.by.surveycto,"{0} द्वारा संचालित","SurveyCTO branding. {0} gets replaced by ""SurveyCTO"" and must be included in your translation.",,,"Powered by {0}"
web.forms.page.delete.instances.confirmation.message,"क्या आप वाकई इस फ़ॉर्म को डिलीट करना चाहते हैं?","Text to confirm that the user wants to delete a filled-out form (i.e., a submission).",,,"Are you sure you want to delete this form?"
web.forms.page.delete.instances.confirmation.negative.button,"डिलीट ना करें","Button to confirm that the user does NOT want to delete a filled-out form (i.e., to cancel deleting a submission).",,,"Do not delete"
web.forms.page.delete.instances.confirmation.positive.button,"हाँ, इसे डिलीट कर दें","Button to confirm that the user DOES want to delete a filled-out form (i.e., a submission).",,,"Yes, delete it"
web.forms.page.delete.instances.confirmation.title,"डिलीट की पुष्टि करें","Title of the window to confirm that the user wants to delete a filled-out form (i.e., a submission).",,,"Confirm deletion"
web.forms.page.delete.instances.header,"डिलीट करने के लिए एक फ़ॉर्म चुनें:","Header for list of filled-out forms that can be deleted.",,,"Choose a form to delete:"
web.forms.page.delete.instances.title,"सहेजे (सेव) किये गए फॉर्म को डिलीट करें","Title for list of filled-out forms that can be deleted.",,,"Delete saved form"
web.forms.page.edit.instances.header,"संपादन फिर से शुरू करने के लिए एक सहेज (सेव) किये गए फॉर्म को चुनें:","Header for list of saved forms that can be resumed.",,,"Choose a saved form to resume editing:"
web.forms.page.edit.instances.title,"सहेज (सेव) किये गए फोर्म्स की सूची","Title for list of saved forms that can be resumed.",,,"Saved forms list"
web.forms.page.filling.audio.select.file.button,"ऑडियो फ़ाइल का चयन करें","Button for selecting an audio file.",,,"Select audio file"
web.forms.page.filling.banner.tooltip,"{0} (संस्करण: {1})","Information about the current form that appears if the user hovers their mouse over the form title in the upper-left. {0} gets replaced with the current form title. {1} gets replaced with the form version. Both must be included in your translation.",,,"{0} (version: {1})"
web.forms.page.filling.binary.error.large.file,"क्षमा करें , लेकिन आप {0} एमबी से अधिक आकार की फ़ाइल संलग्न नहीं कर सकते हैं। जारी रखने के लिए कृपया एक छोटी फ़ाइल संलग्न करें।","Error message that appears when the user tries to attach a file that is too large. {0} gets replaced with the max file size (in megabytes) and must be included in your translation.",,,"I'm sorry, but you cannot attach a file that is more than {0}MB in size. Please attach a smaller file before continuing."
web.forms.page.filling.file.current.selection.label,"मौजूदा चुनाव","This is the text that appears immediately before the selected file name once you've made a selection in a file field.",,,"Current selection"
web.forms.page.filling.file.select.different.button,"किसी अलग फ़ाइल का चयन करें","This is the button label once you've made a selection in a file field.",,,"Select a different file"
web.forms.page.filling.file.select.file.button,"किसी फाइल का चयन करें","This is the default button label in a file field before you've made a selection.",,,"Select a file"
web.forms.page.filling.geopoint.accuracy,सटीकता,"This is the text that appears immediately before the accuracy value once you've recorded your location in a geo field.",,,Accuracy
web.forms.page.filling.geopoint.altitude,ऊंचाई,"This is the text that appears immediately before the altitude value once you've recorded your location in a geo field.",,,Altitude
web.forms.page.filling.geopoint.error.geolocation.not.supported,"जियोलोकेशन इस ब्राउज़र द्वारा समर्थित नहीं है।","Error message that appears when a geopoint field is shown in a browser that does not support location services.",,,"Geolocation is not supported by this browser."
web.forms.page.filling.geopoint.error.not.available,"स्थान की जानकारी उपलब्ध नहीं है।","Error message that appears when a geopoint field is shown in a browser and location services are not available (possibly because the user has disabled location services or declined to give permission).",,,"Location information is not available."
web.forms.page.filling.geopoint.error.permission.denied,"स्थान की पहचान संभव नहीं (अनुमति अस्वीकृत होने की वजह से) । इस वेबसाइट को आपके स्थान को रिकॉर्ड करने की अनुमति देने के लिए आपको अपने ब्राउज़र की सुरक्षा सेटिंग्स को बदलना पड़ सकता है।","Error message that appears when a geopoint field is shown in a browser and location services are not available because of security settings or the user has declined to give permission.",,,"Cannot identify location (permission denied). You may need to change your browser's security settings to allow this website to access your location."
web.forms.page.filling.geopoint.error.request.timeout,"उपयोगकर्ता के स्थान को प्राप्त करने के अनुरोध का समय समाप्त हो गया है।","Error message that appears when a geopoint field is shown in a browser and the system times out before getting a valid location.",,,"The request to get user location timed out."
web.forms.page.filling.geopoint.error.unknown,"अज्ञात त्रुटि हुई।","Error message that appears when a geopoint field is shown in a browser and some unknown error prevents the system from reading the current location.",,,"An unknown error occurred."
web.forms.page.filling.geopoint.latitude,अक्षांश,"This is the text that appears immediately before the latitude value once you've recorded your location in a geo field.",,,Latitude
web.forms.page.filling.geopoint.longitude,देशान्तर,"This is the text that appears immediately before the longitude value once you've recorded your location in a geo field.",,,Longitude
web.forms.page.filling.geopoint.record.location.button,"स्थान को रिकॉर्ड करें","The primary button label in a geo field before you've recorded a location.",,,"Record location"
web.forms.page.filling.geopoint.replace.location.button,"अन्य किसी स्थान से बदलें","This is the button label once you've recorded a location in a geo field.",,,"Replace location"
web.forms.page.filling.go.to.button,"पर जाइये ","The label for the 'go to' button.",,,"Go to"
web.forms.page.filling.go.to.UI.close,"बंद करे","The label for the red button in the 'go to' screen used to exit the 'go to' screen.",,,Close
web.forms.page.filling.go.to.UI.go.there,"वहां जाइये","The label for the button next to each field in the 'go to' screen.",,,"Go there"
web.forms.page.filling.go.to.UI.go.to.end,"अंत में जाइये","The button label in the 'go to' screen for progressing to the end of the form.",,,"Go to end"
web.forms.page.filling.go.to.UI.go.to.start,"शुरुआत पर जाइये","The button label in the 'go to' screen for returning to the beginning of the form. ",,,"Go to start"
